id;start_date;end_date;language
1;2020-02-29T05:32:00;2020-02-29T03:22:15;SPANISH
2;2020-02-28T10:22:11;2020-02-29T05:26:36;SPANISH
3;2020-02-29T01:17:30;2020-02-28T11:51:39;FRENCH
4;2020-02-28T16:35:01;2020-02-29T04:06:27;FRENCH
5;2020-02-29T02:05:19;2020-02-29T06:52:18;FRENCH
6;2020-02-28T19:57:40;2020-02-29T08:05:54;FRENCH
7;2020-02-28T21:43:00;2020-02-28T15:33:51;FRENCH
8;2020-02-28T20:39:13;2020-02-29T06:55:21;SPANISH
9;2020-02-28T19:20:22;2020-02-28T16:01:45;SPANISH
10;2020-02-29T03:32:26;2020-02-28T14:06:56;SPANISH
